url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-gotowe-do-zamieszkania-ID4nd7p,390000.0,2.0,49.5,Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokojowe-brynow-ul-zaleska-ID4n3B3,595000.0,3.0,74.08, Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/kawalerka-na-giszowcu-na-sprzedaz-ID4mWzd,259000.0,1.0,33.28, Giszowiec
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-86m2-2-balkony-ID4fuGe,,3.0,86.32, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/m3-z-potencjalem-do-aranzacji-ID4m56K,194000.0,2.0,41.6,Śródmieście
https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-balkonem-ID4mWxX,307000.0,1.0,30.7,Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/2-pok-kuchnia-z-parkingiem-w-centrum-ID4mZIC,400000.0,3.0,36.2, Śródmieście
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-kostuchna-ID4jUwz,267000.0,2.0,38.0,Kostuchna
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-obok-placu-miarki-ID4lVwM,515000.0,3.0,53.0,Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/2-pokoje-do-wykonczenia-bez-prowizji-i-pcc-ID4n5DW,399000.0,2.0,37.68, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-park-nadgornikow-66m2-ID4myK5,949900.0,3.0,66.25, Bogucice
https://www.otodom.pl/pl/oferta/nadgornikow-14-apartament-z-tarasem-97-m2-ID4mC5a,1359000.0,5.0,97.72, Bogucice
https://www.otodom.pl/pl/oferta/srodmiescie-po-remoncie-wysoki-standard-kosciuszki-ID4mPSH,515590.0,3.0,52.48, Śródmieście
https://www.otodom.pl/pl/oferta/katowice-mickiewicza-nowy-apartament-z-balkonem-ID4ncUr,464016.0,2.0,41.43, Śródmieście
https://www.otodom.pl/pl/oferta/apartament-46m2-w-sercu-katowic-bez-prowizji-ID4ncTS,604548.0,2.0,45.29,Śródmieście
https://www.otodom.pl/pl/oferta/apartament-54m2-3-pok-gwarancja-najnizszej-ceny-ID4ncTK,662235.0,3.0,54.06,Śródmieście
https://www.otodom.pl/pl/oferta/apartament-42m2-2-pokoje-centrum-bez-prowizji-ID4ncTs,491517.0,2.0,42.01,Śródmieście
https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-spokojnej-okolicy-ID4mBma,370000.0,3.0,50.5,Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/3-pokojowe-sloneczne-w-zielonej-okolicy-ID4ncTl,539000.0,3.0,63.31, Bogucice
https://www.otodom.pl/pl/oferta/bezposrednio-apartament-3-pok-bytkowska-park-ID4mKBU,653000.0,3.0,64.02, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-85m2-balkon-ID4gc5e,674660.0,4.0,85.4, Dąbrówka Mała
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-loggia-bez-prowizji-ID4g35H,539670.0,3.0,72.54, Koszutka
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-86m2-balkon-bez-prowizji-ID4fuGo,,3.0,86.83, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-57m2-balkon-ID4gSDc,508288.0,2.0,57.76, Dąbrówka Mała
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-bazantowo-super-cena-ID4n7eS,646000.0,3.0,68.0, Kostuchna
https://www.otodom.pl/pl/oferta/mieszkanie-w-wyremontowanej-kamienicy-okazja-ID4n0eI,184900.0,2.0,38.89, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-apartamenty-zbozowa-m15-ID4hkSd,,3.0,105.18, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/moderna-ostatnie-mieszkania-na-bazantowie-ID4mL7u,420000.0,2.0,46.0, Kostuchna
https://www.otodom.pl/pl/oferta/premier-park-villa-class-d3-mieszkanie-d3m2-ID4hAko,,3.0,87.29,Osiedle Witosa
